time,count,activity
2026-05-02 12:37:24.604427,0,Low
2026-05-02 12:37:24.721023,0,Low
2026-05-02 12:37:24.838302,0,Low
2026-05-02 12:37:24.933678,0,Low
2026-05-02 12:37:25.023714,0,Low
2026-05-02 12:37:25.134588,0,Low
2026-05-02 12:37:25.238743,0,Low
2026-05-02 12:37:25.346379,0,Low
2026-05-02 12:37:25.436383,0,Low
2026-05-02 12:37:25.541151,0,Low
2026-05-02 12:37:25.650941,0,Low
2026-05-02 12:37:25.767254,1,Low
2026-05-02 12:37:25.939626,0,Low
2026-05-02 12:37:26.040865,0,Low
2026-05-02 12:37:26.134287,0,Low
2026-05-02 12:37:26.218649,0,Low
2026-05-02 12:37:26.299642,0,Low
2026-05-02 12:37:26.400033,1,Low
2026-05-02 12:37:26.491122,1,Low
2026-05-02 12:37:26.591008,0,Low
2026-05-02 12:37:26.704379,0,Low
2026-05-02 12:37:26.812294,1,Low
2026-05-02 12:37:26.934645,0,Low
2026-05-02 12:37:27.039294,0,Low
2026-05-02 12:37:27.146784,0,Low
2026-05-02 12:37:27.249544,1,Low
2026-05-02 12:37:27.352539,1,Low
2026-05-02 12:37:27.439887,1,Low
2026-05-02 12:37:27.543499,0,Low
2026-05-02 12:37:27.650034,0,Low
2026-05-02 12:37:27.774092,0,Low
2026-05-02 12:37:27.882680,0,Low
2026-05-02 12:37:27.963505,0,Low
2026-05-02 12:37:28.063281,0,Low
2026-05-02 12:37:28.150976,0,Low
2026-05-02 12:37:28.250492,0,Low
2026-05-02 12:37:28.350018,0,Low
2026-05-02 12:37:28.448109,0,Low
2026-05-02 12:37:28.548203,0,Low
2026-05-02 12:37:28.659273,0,Low
2026-05-02 12:37:28.770790,0,Low
2026-05-02 12:37:28.873127,0,Low
2026-05-02 12:37:28.958581,0,Low
2026-05-02 12:37:29.062372,0,Low
2026-05-02 12:37:29.175714,0,Low
2026-05-02 12:37:29.286084,0,Low
2026-05-02 12:37:29.381758,0,Low
2026-05-02 12:37:29.483545,0,Low
2026-05-02 12:37:29.594825,0,Low
